Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
4,156.28051588270398,28.76804723171958,18,tasmania,2019,2019-04-01,3
5,146.76461574009485,26.66223720427912,21,tasmania,2019,2019-05-01,3
6,159.72549169203813,24.70213280689284,17,tasmania,2019,2019-06-01,3
7,149.5216064453125,11.542125222327579,16,tasmania,2019,2019-07-01,3
8,149.75950857309195,14.587335118041555,13,tasmania,2019,2019-08-01,3
9,139.3561775570824,13.001303841520805,21,tasmania,2019,2019-09-01,3
10,137.99678398581113,9.232248225610796,17,tasmania,2019,2019-10-01,3
11,128.1883940263228,16.204081184915612,11,tasmania,2019,2019-11-01,3
12,133.97091369628907,14.475233255763753,15,tasmania,2019,2019-12-01,3
1,134.57708053588868,11.175110085162936,10,tasmania,2020,2020-01-01,3
2,129.68156051635742,13.272901024824948,16,tasmania,2020,2020-02-01,3
3,113.60652705601284,8.497851106635311,14,tasmania,2020,2020-03-01,3
4,128.5196526267312,21.39977922568583,22,tasmania,2020,2020-04-01,3
5,153.61834335327148,29.13980368878802,20,tasmania,2020,2020-05-01,3
6,172.34149636162653,37.80275109021026,18,tasmania,2020,2020-06-01,3
7,154.92379881206313,17.535027350792166,19,tasmania,2020,2020-07-01,3
8,171.02567596435546,18.513028871659554,10,tasmania,2020,2020-08-01,3
9,150.7523630777995,17.28527266508097,15,tasmania,2020,2020-09-01,3
10,141.9930090653269,15.533972426302729,19,tasmania,2020,2020-10-01,3
11,143.68377923965454,13.972411265504793,16,tasmania,2020,2020-11-01,3
12,151.0827178955078,15.882355203560921,12,tasmania,2020,2020-12-01,3
1,94.2904829297747,50.398303219477235,14,tasmania,2021,2021-01-01,3
2,120.37294578552246,12.149512811966245,12,tasmania,2021,2021-02-01,3
3,125.01049849566292,13.77406819906135,17,tasmania,2021,2021-03-01,3
4,115.04681294759115,16.245115159424735,15,tasmania,2021,2021-04-01,3
5,148.06179004245334,43.8321586674754,18,tasmania,2021,2021-05-01,3
6,141.55986997816296,26.110865359578266,18,tasmania,2021,2021-06-01,3
7,143.81685638427734,16.222278653672976,9,tasmania,2021,2021-07-01,3
8,155.5312599182129,20.581929820371727,10,tasmania,2021,2021-08-01,3
9,170.66702270507812,12.782290856303026,9,tasmania,2021,2021-09-01,3
10,154.72906611515924,11.895986774808113,13,tasmania,2021,2021-10-01,3
11,153.51369615034625,16.865615822222544,11,tasmania,2021,2021-11-01,3
12,142.04646477332483,19.462447866377506,13,tasmania,2021,2021-12-01,3
1,92.60180044174194,13.458382434879137,16,tierra_del_fuego,2005,2005-01-01,3
2,101.21868309607872,12.19736500163506,13,tierra_del_fuego,2005,2005-02-01,3
3,91.1697506904602,12.885468969020636,16,tierra_del_fuego,2005,2005-03-01,3
4,82.69585545857747,6.266706578381285,12,tierra_del_fuego,2005,2005-04-01,3
5,79.15715130892667,14.035259230347204,11,tierra_del_fuego,2005,2005-05-01,3
6,75.29011797904968,20.445315113191228,16,tierra_del_fuego,2005,2005-06-01,3
7,80.7336031595866,23.6021658331218,15,tierra_del_fuego,2005,2005-07-01,3
8,59.18837563196818,30.769112039191963,12,tierra_del_fuego,2005,2005-08-01,3
9,96.98017824613132,35.06105123057969,13,tierra_del_fuego,2005,2005-09-01,3
10,99.28151779174804,55.3709101153131,10,tierra_del_fuego,2005,2005-10-01,3
11,96.25783414840699,43.83498460634082,15,tierra_del_fuego,2005,2005-11-01,3
12,118.7106694539388,18.36183625176213,15,tierra_del_fuego,2005,2005-12-01,3
1,109.12560892105103,10.011668620781894,16,tierra_del_fuego,2006,2006-01-01,3
2,111.7432368351863,9.761426015601815,13,tierra_del_fuego,2006,2006-02-01,3
3,105.37000274658203,9.991534970295582,14,tierra_del_fuego,2006,2006-03-01,3
4,115.52190494537354,18.90276640161666,8,tierra_del_fuego,2006,2006-04-01,3
5,126.92709786551339,31.561872144199413,14,tierra_del_fuego,2006,2006-05-01,3
6,150.52908912071814,27.669523237333905,13,tierra_del_fuego,2006,2006-06-01,3
7,125.99137268066406,20.017262186835776,15,tierra_del_fuego,2006,2006-07-01,3
8,109.97684236006303,34.29348404977399,11,tierra_del_fuego,2006,2006-08-01,3
9,94.86276010366586,35.712233167629776,13,tierra_del_fuego,2006,2006-09-01,3
10,82.5222682317098,34.323768722095785,15,tierra_del_fuego,2006,2006-10-01,3
11,97.76720428466797,24.28377028342783,15,tierra_del_fuego,2006,2006-11-01,3
12,101.7072560446603,20.802541454683617,14,tierra_del_fuego,2006,2006-12-01,3
1,108.56902254544772,9.825222378657053,13,tierra_del_fuego,2007,2007-01-01,3
2,89.22907202584403,13.002585918105254,14,tierra_del_fuego,2007,2007-02-01,3
3,89.28706711989183,10.23078980119705,13,tierra_del_fuego,2007,2007-03-01,3
4,89.78211094782903,12.609313568167975,13,tierra_del_fuego,2007,2007-04-01,3
5,91.63127946853638,26.53843724229043,16,tierra_del_fuego,2007,2007-05-01,3
6,77.221329053243,29.842796162222943,12,tierra_del_fuego,2007,2007-06-01,3
7,113.48442322867257,36.17837995539053,14,tierra_del_fuego,2007,2007-07-01,3
8,101.44444788419284,49.184495490905654,13,tierra_del_fuego,2007,2007-08-01,3
9,55.34634797913687,52.830054335815575,14,tierra_del_fuego,2007,2007-09-01,3
10,112.6235503600194,63.35077341125554,13,tierra_del_fuego,2007,2007-10-01,3
11,122.24646620316939,35.6646227357061,11,tierra_del_fuego,2007,2007-11-01,3
12,146.47137451171875,7.1988056661749065,13,tierra_del_fuego,2007,2007-12-01,3
1,136.10487583705358,9.961223865657088,14,tierra_del_fuego,2008,2008-01-01,3
2,131.40700721740723,9.5981232255527,16,tierra_del_fuego,2008,2008-02-01,3
3,129.37349599202474,13.199315005675048,15,tierra_del_fuego,2008,2008-03-01,3
4,124.28133926391601,9.723633989062648,10,tierra_del_fuego,2008,2008-04-01,3
5,129.15399068196615,26.792258322321665,15,tierra_del_fuego,2008,2008-05-01,3
6,134.37475814819337,12.24521781425694,10,tierra_del_fuego,2008,2008-06-01,3
7,136.30941078879616,21.296110597608845,11,tierra_del_fuego,2008,2008-07-01,3
8,100.67659818209134,29.624510578311867,13,tierra_del_fuego,2008,2008-08-01,3
9,125.50663111760066,31.95085157623815,13,tierra_del_fuego,2008,2008-09-01,3
10,96.53308897752028,37.62534474162478,13,tierra_del_fuego,2008,2008-10-01,3
11,115.8775782585144,11.13045286466878,16,tierra_del_fuego,2008,2008-11-01,3
12,118.36350195748466,8.476785139748596,14,tierra_del_fuego,2008,2008-12-01,3
